disease_name,product_id
downy mildew,AF0001
gray mold,AF0001
anthracnose,AF0001
leaf spot,AF0001
wilt,AF0001
damping-off,AF0001
soft rot,AF0001
root rot,AF0001
purple blotch,AF0001
downy mildew,AF0002
gray mold,AF0002
anthracnose,AF0002
leaf spot,AF0002
wilt,AF0002
damping-off,AF0002
soft rot,AF0002
root rot,AF0002
purple blotch,AF0002
powdery mildew,AF0003
downy mildew,AF0003
anthracnose,AF0003
wilt,AF0003
damping-off,AF0003
root rot,AF0003
downy mildew,AF0004
soft rot,AF0004
root rot,AF0004
downy mildew,AF0005
gray mold,AF0005
anthracnose,AF0005
leaf spot,AF0005
wilt,AF0005
damping-off,AF0005
soft rot,AF0005
root rot,AF0005
purple blotch,AF0005
powdery mildew,AF0006
downy mildew,AF0006
gray mold,AF0006
anthracnose,AF0006
leaf spot,AF0006
wilt,AF0006
damping-off,AF0006
soft rot,AF0006
root rot,AF0006
powdery mildew,AF0007
downy mildew,AF0007
gray mold,AF0007
anthracnose,AF0007
leaf spot,AF0007
wilt,AF0007
damping-off,AF0007
soft rot,AF0007
root rot,AF0007
downy mildew,AF0008
gray mold,AF0008
anthracnose,AF0008
leaf spot,AF0008
wilt,AF0008
damping-off,AF0008
soft rot,AF0008
root rot,AF0008
purple blotch,AF0008
powdery mildew,AF0009
downy mildew,AF0009
gray mold,AF0009
anthracnose,AF0009
leaf spot,AF0009
wilt,AF0009
damping-off,AF0009
soft rot,AF0009
root rot,AF0009
black spot,AF0010
spider mites,AF0010
aphids,AF0010
powdery mildew,AF0011
downy mildew,AF0011
anthracnose,AF0011
wilt,AF0011
damping-off,AF0011
root rot,AF0011
wilt,AF0012
damping-off,AF0012
root rot,AF0012
nematodes,AF0012
damping-off,AF0014
root rot,AF0015
root rot,AF0016
nematodes,AF0016
wilt,AF0021
root rot,AF0025
root rot,AF0026
root rot,AF0027
wilt,AF0031
root rot,AF0031
wilt,AF0034
root rot,AF0034
powdery mildew,AF0035
anthracnose,AF0035
leaf spot,AF0035
rust,AF0035
black spot,AF0035
spider mites,AF0037
aphids,AF0037
whiteflies,AF0037
thrips,AF0037
spider mites,AF0038
aphids,AF0038
whiteflies,AF0038
thrips,AF0038
spider mites,AF0039
aphids,AF0039
whiteflies,AF0039
thrips,AF0039
root rot,AF0040
spider mites,AF0041
aphids,AF0041
whiteflies,AF0041
thrips,AF0041
powdery mildew,PN0002
downy mildew,PN0002
gray mold,PN0002
anthracnose,PN0002
leaf spot,PN0002
rust,PN0002
late blight,PN0002
thrips,PN0003
aphids,PN0004
rust,PN0006
aphids,PN0006
thrips,PN0006
nematodes,PN0006
downy mildew,PN0007
wilt,PN0007
damping-off,PN0007
root rot,PN0007
downy mildew,PN0008
wilt,PN0008
damping-off,PN0008
root rot,PN0008
aphids,PN0009
thrips,PN0009
aphids,PN0011
spider mites,PN0013
spider mites,PN0014
powdery mildew,PN0021
gray mold,PN0021
anthracnose,PN0021
spider mites,PN0021
aphids,PN0021
whiteflies,PN0021
aphids,PN0026
aphids,PN0028
whiteflies,PN0028
thrips,PN0028
anthracnose,PN0029
leaf spot,PN0029
wilt,PN0029
scab,PN0029
leaf mold,PN0029
rust,PN0033
aphids,PN0033
whiteflies,PN0033
powdery mildew,PN0034
downy mildew,PN0034
anthracnose,PN0034
leaf spot,PN0034
soft rot,PN0034
rust,PN0034
aphids,PN0041
root rot,AF0042
spider mites,AF0043
aphids,AF0043
whiteflies,AF0043
thrips,AF0043
spider mites,AF0047
aphids,AF0047
whiteflies,AF0047
thrips,AF0047
root rot,AF0048
gray mold,AF0057
leaf mold,AF0057
aphids,AF0058
whiteflies,AF0058
spider mites,AF0061
aphids,AF0061
whiteflies,AF0061
thrips,AF0061
spider mites,AF0062
aphids,AF0062
whiteflies,AF0062
thrips,AF0062
spider mites,AF0063
aphids,AF0063
whiteflies,AF0063
thrips,AF0063
thrips,AF0064
spider mites,AF0065
aphids,AF0065
whiteflies,AF0065
thrips,AF0065
